#Gradient,%white,%red,%blue,%sonarDifference,false/red/blue/arm
8.0000,0.1806,0.0694,0.0833,-1.0000,f
7.0000,0.1111,0.0794,0.0159,0.5713,f
3.3333,0.4417,0.1833,0.0083,0.5979,r
5.5000,0.8523,0.0000,0.0114,0.5558,f
0.9592,0.3044,0.1086,0.0634,0.0237,b
1.9167,0.1667,0.3841,0.0109,0.5388,f
5.0000,0.8080,0.0160,0.0000,0.5007,a
3.5385,0.5284,0.0351,0.1371,0.0586,b
11.0000,0.4141,0.0404,0.0505,0.3418,a
2.0909,0.2490,0.1146,0.0316,0.5434,a
3.1667,0.0351,0.4912,0.0088,0.6152,f
1.6667,0.1625,0.3000,0.0125,0.6072,f
9.3333,0.0952,0.0714,0.0595,0.3269,f
3.1429,0.4156,0.1494,0.0130,0.4766,r
6.0000,0.7396,0.0104,0.0312,0.4276,f
7.6667,0.8116,0.0145,0.0290,0.4323,f
5.0000,0.8875,0.0000,0.0125,0.5127,f
2.4500,0.4653,0.0500,0.1051,0.0205,b
6.5000,0.3120,0.0214,0.0812,0.0984,a
0.8519,0.0789,0.4090,0.0113,0.4679,f
4.5000,0.7778,0.0309,0.0000,0.3235,a
6.7143,0.5137,0.0547,0.1246,0.0282,b
6.5714,0.5373,0.0155,0.1335,0.0453,b
8.3333,0.3067,0.0400,0.0267,0.3698,a
3.5000,0.4286,0.1587,0.0079,0.4813,r
4.8000,0.7583,0.0250,0.0167,0.5379,f
3.3333,0.8750,0.0000,0.0000,0.6025,f
0.8393,0.2443,0.1626,0.0661,0.1183,b
4.7500,0.8553,0.0000,0.0132,0.6245,f
4.1667,0.7933,0.0133,0.0200,0.5005,a
3.0000,0.4770,0.0400,0.1600,0.0659,b
3.0000,0.3333,0.0365,0.1250,0.5114,a
7.3333,0.0000,0.5152,0.0303,0.5579,f
6.0000,0.0370,0.5556,0.0000,0.6456,f
1.2353,0.7255,0.0000,0.1148,-1.0000,f
0.8000,0.7000,0.0000,0.1000,-1.0000,f
0.3333,0.3333,0.0000,0.6667,-1.0000,f
0.6667,0.8333,0.0000,0.0000,-1.0000,f
1.7143,0.3333,0.0357,0.2143,-1.0000,f
6.6667,0.0000,0.0000,0.0000,0.7497,f
7.6667,0.0145,0.0000,0.0290,0.7137,f
2.1579,0.4711,0.1322,0.0257,0.0606,r
4.6000,0.8000,0.0087,0.0087,0.4236,a
8.3333,0.0800,0.0667,0.1067,0.3782,f
1.7143,0.2054,0.0119,0.0417,0.3989,f
1.5000,0.3066,0.0473,0.0679,0.3323,r
3.9091,0.3890,0.0951,0.0317,0.0011,r
7.1667,0.5853,0.2054,0.0116,0.0042,r
5.4000,0.7481,0.0000,0.0296,0.3768,a
5.0000,0.2880,0.0160,0.0400,0.4271,f
6.6667,0.0000,0.0000,0.0167,0.6752,f
5.0000,0.4800,0.0720,0.0160,0.4140,a
4.0000,0.5600,0.1950,0.0375,0.0326,r
6.0000,0.8021,0.0000,0.0104,0.4394,a
3.5000,0.3571,0.0556,0.0476,-1.0000,r
5.2500,0.4881,0.0357,0.0595,-1.0000,r
6.7500,0.4167,0.1019,0.0185,0.3594,a
4.1000,0.5707,0.1976,0.0195,0.0040,r
5.2000,0.7154,0.0077,0.0154,0.3842,a
8.0000,0.2917,0.1528,0.0556,0.5570,r
6.0000,0.5417,0.0521,0.0104,0.4193,a
4.4444,0.5472,0.2139,0.0333,0.0317,r
6.0000,0.7917,0.0417,0.0000,0.4356,a
1.9091,0.0866,0.0823,0.0260,0.5099,f
0.6364,0.2958,0.0390,0.0274,0.5630,f
6.6667,0.1667,0.0333,0.0167,0.5285,f
2.5000,0.5000,0.1250,0.0063,0.5202,r
3.7500,0.1167,0.1333,0.0000,0.6454,f
3.3333,0.1667,0.0583,0.0333,0.5238,f
4.0000,0.1800,0.2400,0.0200,0.5247,f
3.8000,0.8421,0.0105,0.0105,0.5501,f
2.5556,0.5652,0.0109,0.0857,0.1310,b
0.5000,0.3220,0.1536,0.0330,-1.0000,f
7.2500,0.8793,0.0000,0.0086,-1.0000,a
4.6000,0.5326,0.0196,0.1739,-1.0000,b
9.6667,0.5517,0.0920,0.0115,-1.0000,a
2.0000,0.2107,0.1033,0.0165,0.5434,f
5.0000,0.8500,0.0056,0.0333,0.3644,a
4.7000,0.5553,0.0191,0.1915,0.0110,b
7.2500,0.5345,0.0862,0.0000,0.3666,a
4.0000,0.8316,0.0000,0.0408,0.4131,a
7.6667,0.5870,0.0362,0.1014,0.0221,b
6.5714,0.5621,0.0404,0.1304,0.0149,b
5.6000,0.4714,0.0786,0.0286,0.4270,a
4.6667,0.8393,0.0000,0.0298,0.4344,a
6.4286,0.5683,0.0127,0.1048,0.0463,b
6.4286,0.5429,0.0286,0.1556,0.0636,b
5.4000,0.4370,0.0593,0.0296,0.4476,a
7.6667,0.1014,0.0145,0.0725,0.5344,f
7.0000,0.9196,0.0000,0.0089,0.4112,a
3.0667,0.5783,0.0203,0.1145,0.0107,b
6.7500,0.5278,0.0926,0.0278,0.3102,a
3.1429,0.4610,0.0130,0.0260,0.4480,f
5.7500,0.0000,0.0217,0.0652,0.4347,f
10.3333,0.0323,0.0108,0.0968,0.2228,f
2.5556,0.1159,0.0338,0.0290,0.4350,f
9.7500,0.5513,0.0000,0.1474,0.1615,f
3.8889,0.3841,0.0698,0.0127,0.2551,f
8.2000,0.6780,0.0146,0.0000,-1.0000,f
4.2308,0.3734,0.0601,0.1105,-1.0000,f
6.8333,0.1951,0.1585,0.0650,-1.0000,f
1.7778,0.0260,0.2326,0.0260,-1.0000,f
6.2000,0.3226,0.0258,0.1161,-1.0000,r
6.6000,0.2545,0.1455,0.1152,-1.0000,r
3.2000,0.4750,0.0125,0.0875,-1.0000,a
5.0000,0.1111,0.2222,0.0667,-1.0000,f
1.8750,0.5583,0.1333,0.0000,-1.0000,r
5.0000,0.1111,0.0000,0.0000,-1.0000,f
2.3333,0.7381,0.0119,0.0833,-1.0000,f
3.0000,0.6116,0.0000,0.1019,-1.0000,b
8.0000,0.4297,0.0312,0.1562,-1.0000,b
4.5000,0.5694,0.0833,0.0000,-1.0000,a
0.5926,0.0139,0.2037,0.0255,-1.0000,f
3.1000,0.2935,0.0806,0.1387,-1.0000,r
7.6667,0.8841,0.0000,0.0000,-1.0000,a
